"FFQ0057.Code.or.Value","FFQ0057.Value.Description","FFQ0057.Count","FFQ0057.Cumulative","FFQ0057.Skip.to.Item"
1,"never",929,929,NA
2,"1-6 times per year",916,1845,NA
3,"7-11 times per year",541,2386,NA
4,"1 time per month",451,2837,NA
5,"2-3 times per month",784,3621,NA
6,"1 time per week",494,4115,NA
7,"2 times per week",604,4719,NA
8,"3-4 times per week",571,5290,NA
9,"5-6 times per week",278,5568,NA
10,"1 time per day",229,5797,NA
11,"2 or more times per day",88,5885,NA
88,"Blank",111,5996,NA
99,"Error",17,6013,NA
