"OHD25CTC.Code.or.Value","OHD25CTC.Value.Description","OHD25CTC.Count","OHD25CTC.Cumulative","OHD25CTC.Skip.to.Item"
"D","Sound primary tooth",878,878,NA
"E","Missing due to dental disease",98,976,NA
"K","Primary tooth with surface condition (s)",3,979,NA
"M","Missing due to other causes",6,985,NA
"R","Missing due to dental disease but replaced",556,1541,NA
"S","Sound permanent tooth",7246,8787,NA
"U","Unerupted",13,8800,NA
"X","Missing due to other causes but replaced",35,8835,NA
"Y","Tooth present, condition cannot be assessed",39,8874,NA
"Z","Permanent tooth with surface condition (s)",97,8971,NA
"< blank >","Missing",627,9598,NA
