"OHX15RSC.Code.or.Value","OHX15RSC.Value.Description","OHX15RSC.Count","OHX15RSC.Cumulative","OHX15RSC.Skip.to.Item"
"Coronal Caries: 2nd restoration code #15","Value was recorded",3,3,NA
"0","lingual AMALGAM restoration",1,4,NA
"1","occlusal AMALGAM restoration",7,11,NA
"2","facial AMALGAM restoration",1,12,NA
"3","mesial AMALGAM restoration",0,12,NA
"4","distal AMALGAM restoration",0,12,NA
"5","lingual OTHER restoration",0,12,NA
"6","occlusal OTHER restoration",2,14,NA
"7","facial OTHER restoration",0,14,NA
"8","mesial OTHER restoration",0,14,NA
"9","distal OTHER restoration",1,15,NA
"-1","Crown (non-specific full-coverage restoration)",0,15,NA
"< blank >","Missing",8351,8366,NA
