"OHX23CSC.Code.or.Value","OHX23CSC.Value.Description","OHX23CSC.Count","OHX23CSC.Cumulative","OHX23CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #23","Value was recorded",28,28,NA
"0","Lingual AMALGAM restoration",0,28,NA
"1","Occlusal AMALGAM restoration",0,28,NA
"2","Facial AMALGAM restoration",3,31,NA
"3","Mesial AMALGAM restoration",0,31,NA
"4","Distal AMALGAM restoration",1,32,NA
"5","Lingual OTHER restoration",0,32,NA
"6","Occlusal OTHER restoration",0,32,NA
"7","Facial OTHER restoration",4,36,NA
"8","Mesial OTHER restoration",13,49,NA
"9","Distal OTHER restoration",10,59,NA
"-1","Crown (non-specific full-coverage restoration)",41,100,NA
"-4","Lingual caries",1,101,NA
"-5","Occlusal caries",0,101,NA
"-6","Facial caries",10,111,NA
"-7","Mesial caries",3,114,NA
"-8","Distal caries",14,128,NA
"< blank >","Missing",8238,8366,NA
