"OHX06RSC.Code.or.Value","OHX06RSC.Value.Description","OHX06RSC.Count","OHX06RSC.Cumulative","OHX06RSC.Skip.to.Item"
"0","lingual AMALGAM restoration",0,0,NA
"1","occlusal AMALGAM restoration",0,0,NA
"2","facial AMALGAM restoration",0,0,NA
"3","mesial AMALGAM restoration",0,0,NA
"4","distal AMALGAM restoration",1,1,NA
"5","lingual OTHER restoration",0,1,NA
"6","occlusal OTHER restoration",0,1,NA
"7","facial OTHER restoration",1,2,NA
"8","mesial OTHER restoration",1,3,NA
"9","distal OTHER restoration",1,4,NA
"-1","Crown (non-specific full-coverage restoration)",1,5,NA
"< blank >","Missing",8361,8366,NA
