"OHX20CTC.Code.or.Value","OHX20CTC.Value.Description","OHX20CTC.Count","OHX20CTC.Cumulative","OHX20CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",270,270,NA
"D","Sound primary tooth",1188,1458,NA
"E","Missing due to dental disease",411,1869,NA
"F","Permanent tooth with a restored surface condition",1203,3072,NA
"J","Permanent root tip is present but no restorative replacement is present",66,3138,NA
"K","Primary tooth with a dental carious surface condition",58,3196,NA
"M","Missing due to other causes",20,3216,NA
"P","Missing due to dental disease but replaced by a removable restoration",514,3730,NA
"Q","Missing due to other causes but replaced by a removable restoration",19,3749,NA
"R","Missing due to dental disease but replaced by a fixed restoration",54,3803,NA
"S","Sound permanent tooth",3961,7764,NA
"T","Permanent root tip is present but a restorative replacement is present",2,7766,NA
"U","Unerupted",244,8010,NA
"X","Missing due to other causes but replaced by a fixed restoration",2,8012,NA
"Y","Tooth present, condition cannot be assessed",2,8014,NA
"Z","Permanent tooth with a dental carious surface condition",86,8100,NA
"< blank >","Missing",266,8366,NA
