"OHX13RSC.Code.or.Value","OHX13RSC.Value.Description","OHX13RSC.Count","OHX13RSC.Cumulative","OHX13RSC.Skip.to.Item"
"Coronal Caries: 2nd restoration code #13","Value was recorded",4,4,NA
"0","lingual AMALGAM restoration",2,6,NA
"1","occlusal AMALGAM restoration",4,10,NA
"2","facial AMALGAM restoration",0,10,NA
"3","mesial AMALGAM restoration",0,10,NA
"4","distal AMALGAM restoration",1,11,NA
"5","lingual OTHER restoration",0,11,NA
"6","occlusal OTHER restoration",2,13,NA
"7","facial OTHER restoration",0,13,NA
"8","mesial OTHER restoration",2,15,NA
"9","distal OTHER restoration",0,15,NA
"-1","Crown (non-specific full-coverage restoration)",0,15,NA
"< blank >","Missing",8351,8366,NA
