"OHD09CSC.Code.or.Value","OHD09CSC.Value.Description","OHD09CSC.Count","OHD09CSC.Cumulative","OHD09CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",523,523,NA
"0","Lingual surface caries",13,536,NA
"2","Facial surface caries",32,568,NA
"3","Mesial caries",88,656,NA
"4","Distal caries",31,687,NA
"5","Lingual surface restoration",31,718,NA
"7","Facial surface restoration",15,733,NA
"8","Mesial restoration",81,814,NA
"9","Distal restoration",77,891,NA
"< blank >","Missing",8707,9598,NA
