"INDFMINC.Code.or.Value","INDFMINC.Value.Description","INDFMINC.Count","INDFMINC.Cumulative","INDFMINC.Skip.to.Item"
"1","$     0 to $ 4,999",347,347,NA
"2","$ 5,000 to $ 9,999",488,835,NA
"3","$10,000 to $14,999",864,1699,NA
"4","$15,000 to $19,999",834,2533,NA
"5","$20,000 to $24,999",856,3389,NA
"6","$25,000 to $34,999",1338,4727,NA
"7","$35,000 to $44,999",1011,5738,NA
"8","$45,000 to $54,999",896,6634,NA
"9","$55,000 to $64,999",575,7209,NA
"10","$65,000 to $74,999",525,7734,NA
"11","$75,000 and Over",2080,9814,NA
"12","Over $20,000",136,9950,NA
"13","Under $20,000",73,10023,NA
"77","Refused",74,10097,NA
"99","Don't know",141,10238,NA
".","Missing",110,10348,NA
