"OHX21CTC.Code.or.Value","OHX21CTC.Value.Description","OHX21CTC.Count","OHX21CTC.Cumulative","OHX21CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",219,219,NA
"D","Sound primary tooth",1220,1439,NA
"E","Missing due to dental disease",212,1651,NA
"F","Permanent tooth with a restored surface condition",644,2295,NA
"J","Permanent root tip is present but no restorative replacement is present",51,2346,NA
"K","Primary tooth with a dental carious surface condition",60,2406,NA
"M","Missing due to other causes",169,2575,NA
"P","Missing due to dental disease but replaced by a removable restoration",440,3015,NA
"Q","Missing due to other causes but replaced by a removable restoration",17,3032,NA
"R","Missing due to dental disease but replaced by a fixed restoration",19,3051,NA
"S","Sound permanent tooth",4875,7926,NA
"T","Permanent root tip is present but a restorative replacement is present",2,7928,NA
"U","Unerupted",103,8031,NA
"X","Missing due to other causes but replaced by a fixed restoration",0,8031,NA
"Y","Tooth present, condition cannot be assessed",2,8033,NA
"Z","Permanent tooth with a dental carious surface condition",67,8100,NA
"< blank >","Missing",266,8366,NA
