"OSQ100b.Code.or.Value","OSQ100b.Value.Description","OSQ100b.Count","OSQ100b.Cumulative","OSQ100b.Skip.to.Item"
"10","HEAD/FACE",1,1,NA
"11","UPPER ARM (HUMERUS)",1,2,NA
"12","LOWER ARM BETWEEN WRIST AND ELBOW (DO NOT INCLUDE WRIST)",2,4,NA
"13","ELBOW",2,6,NA
"14","HAND",1,7,NA
"15","FINGERS",6,13,NA
"16","SHOULDER",1,14,NA
"17","COLLAR BONE",2,16,NA
"18","RIBS (EITHER SIDE)",4,20,NA
"19","PELVIS (NOT HIP)",2,22,NA
"20","UPPER LEG (THIGH EXCLUDING HIP)",0,22,NA
"21","LOWER LEG (BETWEEN ANKLE AND KNEE)",3,25,NA
"22","KNEE (PATELLA)",3,28,NA
"23","ANKLE",5,33,NA
"24","HEEL",0,33,NA
"25","FOOT",6,39,NA
"26","TOES",12,51,NA
"27","OTHER (DO NOT SPECIFY)",2,53,NA
"77","Refused",0,53,NA
"99","Don't know",0,53,NA
".","Missing",3016,3069,NA
