"OHX15CSC.Code.or.Value","OHX15CSC.Value.Description","OHX15CSC.Count","OHX15CSC.Cumulative","OHX15CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #15","Value was recorded",662,662,NA
"0","Lingual AMALGAM restoration",3,665,NA
"1","Occlusal AMALGAM restoration",539,1204,NA
"2","Facial AMALGAM restoration",1,1205,NA
"3","Mesial AMALGAM restoration",1,1206,NA
"4","Distal AMALGAM restoration",0,1206,NA
"5","Lingual OTHER restoration",0,1206,NA
"6","Occlusal OTHER restoration",277,1483,NA
"7","Facial OTHER restoration",0,1483,NA
"8","Mesial OTHER restoration",0,1483,NA
"9","Distal OTHER restoration",0,1483,NA
"-1","Crown (non-specific full-coverage restoration)",317,1800,NA
"-4","Lingual caries",3,1803,NA
"-5","Occlusal caries",50,1853,NA
"-6","Facial caries",11,1864,NA
"-7","Mesial caries",10,1874,NA
"-8","Distal caries",4,1878,NA
"< blank >","Missing",6488,8366,NA
