"FFQ0026B.Code.or.Value","FFQ0026B.Value.Description","FFQ0026B.Count","FFQ0026B.Cumulative","FFQ0026B.Skip.to.Item"
1,"never",828,828,NA
2,"1-6 times per year",676,1504,NA
3,"7-11 times per year",162,1666,NA
4,"1 time per month",204,1870,NA
5,"2-3 times per month",145,2015,NA
6,"1 time per week",81,2096,NA
7,"2 times per week",70,2166,NA
8,"3-4 times per week",33,2199,NA
9,"5-6 times per week",12,2211,NA
10,"1 time per day",21,2232,NA
11,"2 or more times per day",12,2244,NA
88,"Blank",3761,6005,NA
99,"Error",8,6013,NA
