"OHD15CSC.Code.or.Value","OHD15CSC.Value.Description","OHD15CSC.Count","OHD15CSC.Cumulative","OHD15CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",1198,1198,NA
"0","Lingual surface caries",8,1206,NA
"1","Occlusal/incisal caries",85,1291,NA
"2","Facial surface caries",6,1297,NA
"3","Mesial caries",3,1300,NA
"4","Distal caries",3,1303,NA
"5","Lingual surface restoration",16,1319,NA
"6","Occlusal/incisal restoration",885,2204,NA
"7","Facial surface restoration",4,2208,NA
"8","Mesial restoration",0,2208,NA
"9","Distal restoration",0,2208,NA
"< blank >","Missing",7390,9598,NA
