"DR2MNRSP.Code.or.Value","DR2MNRSP.Value.Description","DR2MNRSP.Count","DR2MNRSP.Cumulative","DR2MNRSP.Skip.to.Item"
"1","SP",5694,5694,NA
"2","Mother of SP",1540,7234,NA
"3","Father of SP",192,7426,NA
"4","Wife of SP",28,7454,NA
"5","Husband of SP",6,7460,NA
"6","Daughter of SP",17,7477,NA
"7","Son of SP",9,7486,NA
"8","Grandparent of SP",53,7539,NA
"9","Friend, Partner, Non Relative",6,7545,NA
"10","Translator, not a HH member",3,7548,NA
"11","Child care provider, Caretaker",6,7554,NA
"12","Other Relative",20,7574,NA
"13","Other specify",0,7574,NA
"77","Refused",0,7574,NA
"99","Don't know",0,7574,NA
".","Missing",2239,9813,NA
