"OHX02RSC.Code.or.Value","OHX02RSC.Value.Description","OHX02RSC.Count","OHX02RSC.Cumulative","OHX02RSC.Skip.to.Item"
"Coronal Caries: 2nd restoration code #2","Value was recorded",8,8,NA
"0","lingual AMALGAM restoration",1,9,NA
"1","occlusal AMALGAM restoration",4,13,NA
"2","facial AMALGAM restoration",1,14,NA
"3","mesial AMALGAM restoration",0,14,NA
"4","distal AMALGAM restoration",1,15,NA
"5","lingual OTHER restoration",1,16,NA
"6","occlusal OTHER restoration",1,17,NA
"7","facial OTHER restoration",0,17,NA
"8","mesial OTHER restoration",0,17,NA
"9","distal OTHER restoration",0,17,NA
"-1","Crown (non-specific full-coverage restoration)",0,17,NA
"< blank >","Missing",8349,8366,NA
