"OHX06CTC.Code.or.Value","OHX06CTC.Value.Description","OHX06CTC.Count","OHX06CTC.Cumulative","OHX06CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",19,19,NA
"D","Sound primary tooth",1559,1578,NA
"E","Missing due to dental disease",125,1703,NA
"F","Permanent tooth with a restored surface condition",378,2081,NA
"J","Permanent root tip is present but no restorative replacement is present",44,2125,NA
"K","Primary tooth with a dental carious surface condition",10,2135,NA
"M","Missing due to other causes",25,2160,NA
"P","Missing due to dental disease but replaced by a removable restoration",617,2777,NA
"Q","Missing due to other causes but replaced by a removable restoration",40,2817,NA
"R","Missing due to dental disease but replaced by a fixed restoration",33,2850,NA
"S","Sound permanent tooth",4912,7762,NA
"T","Permanent root tip is present but a restorative replacement is present",0,7762,NA
"U","Unerupted",167,7929,NA
"X","Missing due to other causes but replaced by a fixed restoration",6,7935,NA
"Y","Tooth present, condition cannot be assessed",78,8013,NA
"Z","Permanent tooth with a dental carious surface condition",87,8100,NA
"< blank >","Missing",266,8366,NA
