"OHX27RSC.Code.or.Value","OHX27RSC.Value.Description","OHX27RSC.Count","OHX27RSC.Cumulative","OHX27RSC.Skip.to.Item"
"0","lingual AMALGAM restoration",0,0,NA
"1","occlusal AMALGAM restoration",0,0,NA
"2","facial AMALGAM restoration",0,0,NA
"3","mesial AMALGAM restoration",0,0,NA
"4","distal AMALGAM restoration",0,0,NA
"5","lingual OTHER restoration",0,0,NA
"6","occlusal OTHER restoration",0,0,NA
"7","facial OTHER restoration",1,1,NA
"8","mesial OTHER restoration",0,1,NA
"9","distal OTHER restoration",1,2,NA
"-1","Crown (non-specific full-coverage restoration)",1,3,NA
"< blank >","Missing",8363,8366,NA
