"LEDSCCT2.Code.or.Value","LEDSCCT2.Value.Description","LEDSCCT2.Count","LEDSCCT2.Cumulative","LEDSCCT2.Skip.to.Item"
"0","None",2082,2082,NA
"1","Safety exclusion",7,2089,NA
"2","SP refusal",139,2228,NA
"3","No time",45,2273,NA
"4","Physical limitation",100,2373,NA
"5","Communication problem",4,2377,NA
"6","Equipment failure",16,2393,NA
"7","SP ill/emergency",10,2403,NA
"14","Interrupted",2,2405,NA
"22","Pain or discomfort",7,2412,NA
"23","Poor cuff fit",8,2420,NA
"56","Came late/left early",69,2489,NA
"58","Unable to obtain all bps",565,3054,NA
"72","Error (technician/software/supply)",1,3055,NA
"84","SP with child",12,3067,NA
"101","Bandage, stocking, or other obstruction",4,3071,NA
"104","Swollen legs/ankle edema",2,3073,NA
"999","Other, specify",13,3086,NA
".","Missing",0,3086,NA
