"PFQ063B.Code.or.Value","PFQ063B.Value.Description","PFQ063B.Count","PFQ063B.Cumulative","PFQ063B.Skip.to.Item"
"10","Arthritis/rheumatism",101,101,NA
"11","Back or neck problem",429,530,NA
"12","Birth defect",8,538,NA
"13","Cancer",24,562,NA
"14","Depression/anxiety/emotional problem",160,722,NA
"15","Other developmental problem (such as cerebral palsy)",5,727,NA
"16","Diabetes",114,841,NA
"17","Fractures, bone/joint injury",122,963,NA
"18","Hearing problem",74,1037,NA
"19","Heart problem",55,1092,NA
"20","Hypertension/high blood pressure",82,1174,NA
"21","Lung/breathing problem",54,1228,NA
"22","Mental retardation",6,1234,NA
"23","Other injury",22,1256,NA
"24","Senility",6,1262,NA
"25","Stroke problem",16,1278,NA
"26","Vision/problem seeing",42,1320,NA
"27","Weight problem",65,1385,NA
"28","Other impairment/problem",113,1498,NA
"77","Refused",0,1498,NA
"99","Don't know",0,1498,NA
".","Missing",6923,8421,NA
