"OHX05CTC.Code.or.Value","OHX05CTC.Value.Description","OHX05CTC.Count","OHX05CTC.Cumulative","OHX05CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",168,168,NA
"D","Sound primary tooth",1273,1441,NA
"E","Missing due to dental disease",347,1788,NA
"F","Permanent tooth with a restored surface condition",1155,2943,NA
"J","Permanent root tip is present but no restorative replacement is present",91,3034,NA
"K","Primary tooth with a dental carious surface condition",41,3075,NA
"M","Missing due to other causes",242,3317,NA
"P","Missing due to dental disease but replaced by a removable restoration",676,3993,NA
"Q","Missing due to other causes but replaced by a removable restoration",30,4023,NA
"R","Missing due to dental disease but replaced by a fixed restoration",63,4086,NA
"S","Sound permanent tooth",3807,7893,NA
"T","Permanent root tip is present but a restorative replacement is present",0,7893,NA
"U","Unerupted",114,8007,NA
"X","Missing due to other causes but replaced by a fixed restoration",1,8008,NA
"Y","Tooth present, condition cannot be assessed",3,8011,NA
"Z","Permanent tooth with a dental carious surface condition",89,8100,NA
"< blank >","Missing",266,8366,NA
