"FFQ0024B.Code.or.Value","FFQ0024B.Value.Description","FFQ0024B.Count","FFQ0024B.Cumulative","FFQ0024B.Skip.to.Item"
1,"never",922,922,NA
2,"1-6 times per year",1680,2602,NA
3,"7-11 times per year",603,3205,NA
4,"1 time per month",590,3795,NA
5,"2-3 times per month",634,4429,NA
6,"1 time per week",235,4664,NA
7,"2 times per week",221,4885,NA
8,"3-4 times per week",111,4996,NA
9,"5-6 times per week",34,5030,NA
10,"1 time per day",45,5075,NA
11,"2 or more times per day",37,5112,NA
88,"Blank",890,6002,NA
99,"Error",11,6013,NA
