"OHD04CSC.Code.or.Value","OHD04CSC.Value.Description","OHD04CSC.Count","OHD04CSC.Cumulative","OHD04CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",1476,1476,NA
"0","Lingual surface caries",13,1489,NA
"1","Occlusal/incisal caries",45,1534,NA
"2","Facial surface caries",3,1537,NA
"3","Mesial caries",21,1558,NA
"4","Distal caries",9,1567,NA
"5","Lingual surface restoration",12,1579,NA
"6","Occlusal/incisal restoration",342,1921,NA
"7","Facial surface restoration",3,1924,NA
"8","Mesial restoration",1,1925,NA
"9","Distal restoration",0,1925,NA
"< blank >","Missing",7673,9598,NA
