"OHX28RSC.Code.or.Value","OHX28RSC.Value.Description","OHX28RSC.Count","OHX28RSC.Cumulative","OHX28RSC.Skip.to.Item"
"Coronal Caries: 2nd restoration code #28","Value was recorded",2,2,NA
"0","lingual AMALGAM restoration",0,2,NA
"1","occlusal AMALGAM restoration",4,6,NA
"2","facial AMALGAM restoration",0,6,NA
"3","mesial AMALGAM restoration",0,6,NA
"4","distal AMALGAM restoration",0,6,NA
"5","lingual OTHER restoration",0,6,NA
"6","occlusal OTHER restoration",4,10,NA
"7","facial OTHER restoration",1,11,NA
"8","mesial OTHER restoration",0,11,NA
"9","distal OTHER restoration",0,11,NA
"-1","Crown (non-specific full-coverage restoration)",2,13,NA
"< blank >","Missing",8353,8366,NA
