"OHD14CSC.Code.or.Value","OHD14CSC.Value.Description","OHD14CSC.Count","OHD14CSC.Cumulative","OHD14CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",2047,2047,NA
"0","Lingual surface caries",11,2058,NA
"1","Occlusal/incisal caries",75,2133,NA
"2","Facial surface caries",2,2135,NA
"3","Mesial caries",8,2143,NA
"4","Distal caries",0,2143,NA
"5","Lingual surface restoration",49,2192,NA
"6","Occlusal/incisal restoration",729,2921,NA
"7","Facial surface restoration",1,2922,NA
"8","Mesial restoration",2,2924,NA
"9","Distal restoration",0,2924,NA
"< blank >","Missing",6674,9598,NA
