"KIQ043.Code.or.Value","KIQ043.Value.Description","KIQ043.Count","KIQ043.Cumulative","KIQ043.Skip.to.Item"
"1","Every day,",270,270,NA
"1","Every day,",270,270,NA
"2","A few times a week,",261,531,NA
"2","A few times a week,",261,531,NA
"3","A few times a month, or",279,810,NA
"3","A few times a month, or",279,810,NA
"4","A few times a year?",320,1130,NA
"4","A few times a year?",320,1130,NA
"7","Refused",0,1130,NA
"7","Refused",0,1130,NA
"9","Don't know",1,1131,NA
"9","Don't know",1,1131,NA
".","Missing",3910,5041,NA
".","Missing",3910,5041,NA
