"OHD08CTC.Code.or.Value","OHD08CTC.Value.Description","OHD08CTC.Count","OHD08CTC.Cumulative","OHD08CTC.Skip.to.Item"
"D","Sound primary tooth",893,893,NA
"E","Missing due to dental disease",76,969,NA
"K","Primary tooth with surface condition (s)",115,1084,NA
"M","Missing due to other causes",4,1088,NA
"R","Missing due to dental disease but replaced",797,1885,NA
"S","Sound permanent tooth",5920,7805,NA
"U","Unerupted",55,7860,NA
"X","Missing due to other causes but replaced",76,7936,NA
"Y","Tooth present, condition cannot be assessed",240,8176,NA
"Z","Permanent tooth with surface condition (s)",795,8971,NA
"< blank >","Missing",627,9598,NA
