"KIQ047.Code.or.Value","KIQ047.Value.Description","KIQ047.Count","KIQ047.Cumulative","KIQ047.Skip.to.Item"
"1","Every day,",163,163,NA
"1","Every day,",163,163,NA
"2","A few times a week,",116,279,NA
"2","A few times a week,",116,279,NA
"3","A few times a month, or",67,346,NA
"3","A few times a month, or",67,346,NA
"4","A few times a year?",87,433,NA
"4","A few times a year?",87,433,NA
"7","Refused",0,433,NA
"7","Refused",0,433,NA
"9","Don't know",0,433,NA
"9","Don't know",0,433,NA
".","Missing",4608,5041,NA
".","Missing",4608,5041,NA
