"OHX19CTC.Code.or.Value","OHX19CTC.Value.Description","OHX19CTC.Count","OHX19CTC.Cumulative","OHX19CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",0,0,NA
"D","Sound primary tooth",0,0,NA
"E","Missing due to dental disease",1087,1087,NA
"F","Permanent tooth with a restored surface condition",2253,3340,NA
"J","Permanent root tip is present but no restorative replacement is present",81,3421,NA
"K","Primary tooth with a dental carious surface condition",0,3421,NA
"M","Missing due to other causes",15,3436,NA
"P","Missing due to dental disease but replaced by a removable restoration",594,4030,NA
"Q","Missing due to other causes but replaced by a removable restoration",21,4051,NA
"R","Missing due to dental disease but replaced by a fixed restoration",140,4191,NA
"S","Sound permanent tooth",2818,7009,NA
"T","Permanent root tip is present but a restorative replacement is present",1,7010,NA
"U","Unerupted",926,7936,NA
"X","Missing due to other causes but replaced by a fixed restoration",2,7938,NA
"Y","Tooth present, condition cannot be assessed",2,7940,NA
"Z","Permanent tooth with a dental carious surface condition",160,8100,NA
"< blank >","Missing",266,8366,NA
