"OPDDRET.Code.or.Value","OPDDRET.Value.Description","OPDDRET.Count","OPDDRET.Cumulative","OPDDRET.Skip.to.Item"
"10","No retinopathy",2737,2737,NA
"12","Non-diabetic retinal disease specific retinopathy",43,2780,NA
"13","Questionable retinopathy",110,2890,NA
"14","HE, SE, IRMA, VL but no MAS",14,2904,NA
"15","HEM only, no MAS",45,2949,NA
"20","MAS only",105,3054,NA
"31","Early NPR",61,3115,NA
"41","Moderate NPR",30,3145,NA
"51","Severe NPR",6,3151,NA
"60","Fibrous prolif. only",4,3155,NA
"61","No retinopathy but PRP laser",2,3157,NA
"62","MAS only +  PRP laser",0,3157,NA
"63","Early NPR + PRP laser",5,3162,NA
"64","Moderate/severe NPR + PRP laser",0,3162,NA
"65","PR < HRC",2,3164,NA
"70","PR >= HRC",1,3165,NA
"80","Total VH",0,3165,NA
".","Missing",698,3863,NA
