"OHX03CTC.Code.or.Value","OHX03CTC.Value.Description","OHX03CTC.Count","OHX03CTC.Cumulative","OHX03CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",0,0,NA
"D","Sound primary tooth",0,0,NA
"E","Missing due to dental disease",645,645,NA
"F","Permanent tooth with a restored surface condition",2283,2928,NA
"J","Permanent root tip is present but no restorative replacement is present",84,3012,NA
"K","Primary tooth with a dental carious surface condition",0,3012,NA
"M","Missing due to other causes",16,3028,NA
"P","Missing due to dental disease but replaced by a removable restoration",733,3761,NA
"Q","Missing due to other causes but replaced by a removable restoration",31,3792,NA
"R","Missing due to dental disease but replaced by a fixed restoration",78,3870,NA
"S","Sound permanent tooth",3143,7013,NA
"T","Permanent root tip is present but a restorative replacement is present",0,7013,NA
"U","Unerupted",957,7970,NA
"X","Missing due to other causes but replaced by a fixed restoration",2,7972,NA
"Y","Tooth present, condition cannot be assessed",3,7975,NA
"Z","Permanent tooth with a dental carious surface condition",125,8100,NA
"< blank >","Missing",266,8366,NA
