"OHX27CSC.Code.or.Value","OHX27CSC.Value.Description","OHX27CSC.Count","OHX27CSC.Cumulative","OHX27CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #27","Value was recorded",48,48,NA
"0","Lingual AMALGAM restoration",0,48,NA
"1","Occlusal AMALGAM restoration",0,48,NA
"2","Facial AMALGAM restoration",9,57,NA
"3","Mesial AMALGAM restoration",1,58,NA
"4","Distal AMALGAM restoration",7,65,NA
"5","Lingual OTHER restoration",1,66,NA
"6","Occlusal OTHER restoration",0,66,NA
"7","Facial OTHER restoration",19,85,NA
"8","Mesial OTHER restoration",8,93,NA
"9","Distal OTHER restoration",8,101,NA
"-1","Crown (non-specific full-coverage restoration)",88,189,NA
"-4","Lingual caries",1,190,NA
"-5","Occlusal caries",0,190,NA
"-6","Facial caries",22,212,NA
"-7","Mesial caries",10,222,NA
"-8","Distal caries",11,233,NA
"< blank >","Missing",8133,8366,NA
