"FFQ0052.Code.or.Value","FFQ0052.Value.Description","FFQ0052.Count","FFQ0052.Cumulative","FFQ0052.Skip.to.Item"
1,"never",1660,1660,NA
2,"1-6 times per year",982,2642,NA
3,"7-11 times per year",521,3163,NA
4,"1 time per month",550,3713,NA
5,"2-3 times per month",836,4549,NA
6,"1 time per week",473,5022,NA
7,"2 times per week",447,5469,NA
8,"3-4 times per week",257,5726,NA
9,"5-6 times per week",100,5826,NA
10,"1 time per day",57,5883,NA
11,"2 or more times per day",21,5904,NA
88,"Blank",91,5995,NA
99,"Error",18,6013,NA
