"OHX18RSC.Code.or.Value","OHX18RSC.Value.Description","OHX18RSC.Count","OHX18RSC.Cumulative","OHX18RSC.Skip.to.Item"
"Coronal Caries: 2nd restoration code #18","Value was recorded",9,9,NA
"0","lingual AMALGAM restoration",0,9,NA
"1","occlusal AMALGAM restoration",6,15,NA
"2","facial AMALGAM restoration",3,18,NA
"3","mesial AMALGAM restoration",2,20,NA
"4","distal AMALGAM restoration",1,21,NA
"5","lingual OTHER restoration",0,21,NA
"6","occlusal OTHER restoration",2,23,NA
"7","facial OTHER restoration",3,26,NA
"8","mesial OTHER restoration",0,26,NA
"9","distal OTHER restoration",0,26,NA
"-1","Crown (non-specific full-coverage restoration)",0,26,NA
"< blank >","Missing",8340,8366,NA
