"OHX06CSC.Code.or.Value","OHX06CSC.Value.Description","OHX06CSC.Count","OHX06CSC.Cumulative","OHX06CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #6","Value was recorded",104,104,NA
"0","Lingual AMALGAM restoration",3,107,NA
"1","Occlusal AMALGAM restoration",0,107,NA
"2","Facial AMALGAM restoration",8,115,NA
"3","Mesial AMALGAM restoration",2,117,NA
"4","Distal AMALGAM restoration",12,129,NA
"5","Lingual OTHER restoration",5,134,NA
"6","Occlusal OTHER restoration",0,134,NA
"7","Facial OTHER restoration",25,159,NA
"8","Mesial OTHER restoration",49,208,NA
"9","Distal OTHER restoration",60,268,NA
"-1","Crown (non-specific full-coverage restoration)",163,431,NA
"-4","Lingual caries",1,432,NA
"-5","Occlusal caries",0,432,NA
"-6","Facial caries",17,449,NA
"-7","Mesial caries",25,474,NA
"-8","Distal caries",20,494,NA
"< blank >","Missing",7872,8366,NA
