"OHX25CSC.Code.or.Value","OHX25CSC.Value.Description","OHX25CSC.Count","OHX25CSC.Cumulative","OHX25CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #25","Value was recorded",25,25,NA
"0","Lingual AMALGAM restoration",0,25,NA
"1","Occlusal AMALGAM restoration",0,25,NA
"2","Facial AMALGAM restoration",1,26,NA
"3","Mesial AMALGAM restoration",0,26,NA
"4","Distal AMALGAM restoration",0,26,NA
"5","Lingual OTHER restoration",2,28,NA
"6","Occlusal OTHER restoration",0,28,NA
"7","Facial OTHER restoration",3,31,NA
"8","Mesial OTHER restoration",6,37,NA
"9","Distal OTHER restoration",3,40,NA
"-1","Crown (non-specific full-coverage restoration)",46,86,NA
"-4","Lingual caries",0,86,NA
"-5","Occlusal caries",0,86,NA
"-6","Facial caries",3,89,NA
"-7","Mesial caries",4,93,NA
"-8","Distal caries",9,102,NA
"< blank >","Missing",8264,8366,NA
