"OHX20RSC.Code.or.Value","OHX20RSC.Value.Description","OHX20RSC.Count","OHX20RSC.Cumulative","OHX20RSC.Skip.to.Item"
"Coronal Caries: 2nd restoration code #20","Value was recorded",8,8,NA
"0","lingual AMALGAM restoration",0,8,NA
"1","occlusal AMALGAM restoration",3,11,NA
"2","facial AMALGAM restoration",0,11,NA
"3","mesial AMALGAM restoration",2,13,NA
"4","distal AMALGAM restoration",0,13,NA
"5","lingual OTHER restoration",0,13,NA
"6","occlusal OTHER restoration",2,15,NA
"7","facial OTHER restoration",2,17,NA
"8","mesial OTHER restoration",0,17,NA
"9","distal OTHER restoration",0,17,NA
"-1","Crown (non-specific full-coverage restoration)",0,17,NA
"< blank >","Missing",8349,8366,NA
