"OHX04CTC.Code.or.Value","OHX04CTC.Value.Description","OHX04CTC.Count","OHX04CTC.Cumulative","OHX04CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",245,245,NA
"D","Sound primary tooth",1249,1494,NA
"E","Missing due to dental disease",440,1934,NA
"F","Permanent tooth with a restored surface condition",1369,3303,NA
"J","Permanent root tip is present but no restorative replacement is present",82,3385,NA
"K","Primary tooth with a dental carious surface condition",47,3432,NA
"M","Missing due to other causes",21,3453,NA
"P","Missing due to dental disease but replaced by a removable restoration",703,4156,NA
"Q","Missing due to other causes but replaced by a removable restoration",27,4183,NA
"R","Missing due to dental disease but replaced by a fixed restoration",89,4272,NA
"S","Sound permanent tooth",3493,7765,NA
"T","Permanent root tip is present but a restorative replacement is present",0,7765,NA
"U","Unerupted",236,8001,NA
"X","Missing due to other causes but replaced by a fixed restoration",1,8002,NA
"Y","Tooth present, condition cannot be assessed",2,8004,NA
"Z","Permanent tooth with a dental carious surface condition",96,8100,NA
"< blank >","Missing",266,8366,NA
