"OHD19CSC.Code.or.Value","OHD19CSC.Value.Description","OHD19CSC.Count","OHD19CSC.Cumulative","OHD19CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",2060,2060,NA
"0","Lingual surface caries",1,2061,NA
"1","Occlusal/incisal caries",88,2149,NA
"2","Facial surface caries",42,2191,NA
"3","Mesial caries",1,2192,NA
"4","Distal caries",1,2193,NA
"5","Lingual surface restoration",2,2195,NA
"6","Occlusal/incisal restoration",636,2831,NA
"7","Facial surface restoration",172,3003,NA
"8","Mesial restoration",2,3005,NA
"9","Distal restoration",0,3005,NA
"< blank >","Missing",6593,9598,NA
