"OHX19CSC.Code.or.Value","OHX19CSC.Value.Description","OHX19CSC.Count","OHX19CSC.Cumulative","OHX19CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #19","Value was recorded",905,905,NA
"0","Lingual AMALGAM restoration",0,905,NA
"1","Occlusal AMALGAM restoration",307,1212,NA
"2","Facial AMALGAM restoration",82,1294,NA
"3","Mesial AMALGAM restoration",0,1294,NA
"4","Distal AMALGAM restoration",0,1294,NA
"5","Lingual OTHER restoration",0,1294,NA
"6","Occlusal OTHER restoration",392,1686,NA
"7","Facial OTHER restoration",31,1717,NA
"8","Mesial OTHER restoration",2,1719,NA
"9","Distal OTHER restoration",0,1719,NA
"-1","Crown (non-specific full-coverage restoration)",619,2338,NA
"-4","Lingual caries",3,2341,NA
"-5","Occlusal caries",49,2390,NA
"-6","Facial caries",9,2399,NA
"-7","Mesial caries",1,2400,NA
"-8","Distal caries",13,2413,NA
"< blank >","Missing",5953,8366,NA
