"OHD21CSC.Code.or.Value","OHD21CSC.Value.Description","OHD21CSC.Count","OHD21CSC.Cumulative","OHD21CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",741,741,NA
"0","Lingual surface caries",1,742,NA
"1","Occlusal/incisal caries",39,781,NA
"2","Facial surface caries",20,801,NA
"3","Mesial caries",3,804,NA
"4","Distal caries",17,821,NA
"5","Lingual surface restoration",1,822,NA
"6","Occlusal/incisal restoration",254,1076,NA
"7","Facial surface restoration",44,1120,NA
"8","Mesial restoration",2,1122,NA
"9","Distal restoration",5,1127,NA
"< blank >","Missing",8471,9598,NA
