"OHX09CTC.Code.or.Value","OHX09CTC.Value.Description","OHX09CTC.Count","OHX09CTC.Cumulative","OHX09CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",32,32,NA
"D","Sound primary tooth",922,954,NA
"E","Missing due to dental disease",135,1089,NA
"F","Permanent tooth with a restored surface condition",646,1735,NA
"J","Permanent root tip is present but no restorative replacement is present",34,1769,NA
"K","Primary tooth with a dental carious surface condition",40,1809,NA
"M","Missing due to other causes",23,1832,NA
"P","Missing due to dental disease but replaced by a removable restoration",649,2481,NA
"Q","Missing due to other causes but replaced by a removable restoration",67,2548,NA
"R","Missing due to dental disease but replaced by a fixed restoration",65,2613,NA
"S","Sound permanent tooth",5063,7676,NA
"T","Permanent root tip is present but a restorative replacement is present",1,7677,NA
"U","Unerupted",58,7735,NA
"X","Missing due to other causes but replaced by a fixed restoration",22,7757,NA
"Y","Tooth present, condition cannot be assessed",195,7952,NA
"Z","Permanent tooth with a dental carious surface condition",148,8100,NA
"< blank >","Missing",266,8366,NA
