"OHX10CTC.Code.or.Value","OHX10CTC.Value.Description","OHX10CTC.Count","OHX10CTC.Cumulative","OHX10CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",23,23,NA
"D","Sound primary tooth",1088,1111,NA
"E","Missing due to dental disease",153,1264,NA
"F","Permanent tooth with a restored surface condition",570,1834,NA
"J","Permanent root tip is present but no restorative replacement is present",49,1883,NA
"K","Primary tooth with a dental carious surface condition",21,1904,NA
"M","Missing due to other causes",31,1935,NA
"P","Missing due to dental disease but replaced by a removable restoration",658,2593,NA
"Q","Missing due to other causes but replaced by a removable restoration",56,2649,NA
"R","Missing due to dental disease but replaced by a fixed restoration",81,2730,NA
"S","Sound permanent tooth",5002,7732,NA
"T","Permanent root tip is present but a restorative replacement is present",1,7733,NA
"U","Unerupted",103,7836,NA
"X","Missing due to other causes but replaced by a fixed restoration",15,7851,NA
"Y","Tooth present, condition cannot be assessed",115,7966,NA
"Z","Permanent tooth with a dental carious surface condition",134,8100,NA
"< blank >","Missing",266,8366,NA
