"PFD067C.Code.or.Value","PFD067C.Value.Description","PFD067C.Count","PFD067C.Cumulative","PFD067C.Skip.to.Item"
"10","Arthritis/rheumatism",15,15,NA
"11","Back or neck problem",9,24,NA
"12","Birth defect",2,26,NA
"13","Cancer",2,28,NA
"14","Depression/anxiety/emotional problem",51,79,NA
"15","Other developmental problem (such as cerebral palsy)",2,81,NA
"16","Diabetes",36,117,NA
"17","Fractures, bone/joint injury",62,179,NA
"18","Hearing problem",44,223,NA
"19","Heart problem",41,264,NA
"20","Hypertension/high blood pressure",44,308,NA
"21","Lung/breathing problem",40,348,NA
"22","Mental retardation",2,350,NA
"23","Other injury",15,365,NA
"24","Senility",4,369,NA
"25","Stroke problem",14,383,NA
"26","Vision/problem seeing",45,428,NA
"27","Weight problem",33,461,NA
"28","Other impairment/problem",44,505,NA
"77","Refused",0,505,NA
"99","Don't know",0,505,NA
".","Missing",9965,10470,NA
