"OSQ100a.Code.or.Value","OSQ100a.Value.Description","OSQ100a.Count","OSQ100a.Cumulative","OSQ100a.Skip.to.Item"
"10","HEAD/FACE",7,7,NA
"11","UPPER ARM (HUMERUS)",5,12,NA
"12","LOWER ARM BETWEEN WRIST AND ELBOW (DO NOT INCLUDE WRIST)",6,18,NA
"13","ELBOW",3,21,NA
"14","HAND",13,34,NA
"15","FINGERS",29,63,NA
"16","SHOULDER",10,73,NA
"17","COLLAR BONE",3,76,NA
"18","RIBS (EITHER SIDE)",12,88,NA
"19","PELVIS (NOT HIP)",2,90,NA
"20","UPPER LEG (THIGH EXCLUDING HIP)",3,93,NA
"21","LOWER LEG (BETWEEN ANKLE AND KNEE)",7,100,NA
"22","KNEE (PATELLA)",6,106,NA
"23","ANKLE",50,156,NA
"24","HEEL",3,159,NA
"25","FOOT",40,199,NA
"26","TOES",43,242,NA
"27","OTHER (DO NOT SPECIFY)",4,246,NA
"77","Refused",0,246,NA
"99","Don't know",0,246,NA
".","Missing",2823,3069,NA
