"OHX09CSC.Code.or.Value","OHX09CSC.Value.Description","OHX09CSC.Count","OHX09CSC.Cumulative","OHX09CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #9","Value was recorded",228,228,NA
"0","Lingual AMALGAM restoration",1,229,NA
"1","Occlusal AMALGAM restoration",0,229,NA
"2","Facial AMALGAM restoration",3,232,NA
"3","Mesial AMALGAM restoration",0,232,NA
"4","Distal AMALGAM restoration",1,233,NA
"5","Lingual OTHER restoration",3,236,NA
"6","Occlusal OTHER restoration",0,236,NA
"7","Facial OTHER restoration",8,244,NA
"8","Mesial OTHER restoration",141,385,NA
"9","Distal OTHER restoration",122,507,NA
"-1","Crown (non-specific full-coverage restoration)",242,749,NA
"-4","Lingual caries",5,754,NA
"-5","Occlusal caries",0,754,NA
"-6","Facial caries",19,773,NA
"-7","Mesial caries",60,833,NA
"-8","Distal caries",33,866,NA
"< blank >","Missing",7500,8366,NA
