"ALQ270.Code.or.Value","ALQ270.Value.Description","ALQ270.Count","ALQ270.Cumulative","ALQ270.Skip.to.Item"
"0","Never in the last year",766,766,NA
"1","Every day",12,778,NA
"2","Nearly every day",18,796,NA
"3","3 to 4 times a week",21,817,NA
"4","2 times a week",37,854,NA
"5","Once a week",60,914,NA
"6","2 to 3 times a month",56,970,NA
"7","Once a month",85,1055,NA
"8","7 to 11 times in the last year",37,1092,NA
"9","3 to 6 times in the last year",78,1170,NA
"10","1 to 2 times in the last year",259,1429,NA
"77","Refused",2,1431,NA
"99","Don't know",8,1439,NA
".","Missing",4094,5533,NA
