"BHQ060.Code.or.Value","BHQ060.Value.Description","BHQ060.Count","BHQ060.Cumulative","BHQ060.Skip.to.Item"
"1","Type 1 (separate hard lumps, like nuts)",106,106,NA
"2","Type 2 (sausage-like, but lumpy)",286,392,NA
"3","Type 3 (like a sausage but with cracks in the surface)",1254,1646,NA
"4","Type 4 (like a sausage or snake, smooth and soft)",2694,4340,NA
"5","Type 5 (soft blobs with clear-cut edges)",464,4804,NA
"6","Type 6 (fluffy pieces with ragged edges, a mushy stool)",389,5193,NA
"7","Type 7 (watery, no solid pieces)",53,5246,NA
"77","Refused",0,5246,NA
"99","Don't know",31,5277,NA
".","Missing",782,6059,NA
