"OHX07RSC.Code.or.Value","OHX07RSC.Value.Description","OHX07RSC.Count","OHX07RSC.Cumulative","OHX07RSC.Skip.to.Item"
"Coronal Caries: 2nd restoration code #7","Value was recorded",2,2,NA
"0","lingual AMALGAM restoration",0,2,NA
"1","occlusal AMALGAM restoration",0,2,NA
"2","facial AMALGAM restoration",1,3,NA
"3","mesial AMALGAM restoration",0,3,NA
"4","distal AMALGAM restoration",0,3,NA
"5","lingual OTHER restoration",0,3,NA
"6","occlusal OTHER restoration",0,3,NA
"7","facial OTHER restoration",2,5,NA
"8","mesial OTHER restoration",4,9,NA
"9","distal OTHER restoration",2,11,NA
"-1","Crown (non-specific full-coverage restoration)",0,11,NA
"< blank >","Missing",8355,8366,NA
