"OHD07CSC.Code.or.Value","OHD07CSC.Value.Description","OHD07CSC.Count","OHD07CSC.Cumulative","OHD07CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",432,432,NA
"0","Lingual surface caries",20,452,NA
"2","Facial surface caries",29,481,NA
"3","Mesial caries",56,537,NA
"4","Distal caries",21,558,NA
"5","Lingual surface restoration",124,682,NA
"7","Facial surface restoration",22,704,NA
"8","Mesial restoration",103,807,NA
"9","Distal restoration",30,837,NA
"< blank >","Missing",8761,9598,NA
