"OHX02CTC.Code.or.Value","OHX02CTC.Value.Description","OHX02CTC.Count","OHX02CTC.Cumulative","OHX02CTC.Skip.to.Item"
"A","Primary tooth with a restored surface condition",0,0,NA
"D","Sound primary tooth",0,0,NA
"E","Missing due to dental disease",758,758,NA
"F","Permanent tooth with a restored surface condition",1747,2505,NA
"J","Permanent root tip is present but no restorative replacement is present",77,2582,NA
"K","Primary tooth with a dental carious surface condition",0,2582,NA
"M","Missing due to other causes",23,2605,NA
"P","Missing due to dental disease but replaced by a removable restoration",677,3282,NA
"Q","Missing due to other causes but replaced by a removable restoration",30,3312,NA
"R","Missing due to dental disease but replaced by a fixed restoration",9,3321,NA
"S","Sound permanent tooth",2701,6022,NA
"T","Permanent root tip is present but a restorative replacement is present",0,6022,NA
"U","Unerupted",1945,7967,NA
"X","Missing due to other causes but replaced by a fixed restoration",0,7967,NA
"Y","Tooth present, condition cannot be assessed",6,7973,NA
"Z","Permanent tooth with a dental carious surface condition",127,8100,NA
"< blank >","Missing",266,8366,NA
