"OHD11CSC.Code.or.Value","OHD11CSC.Value.Description","OHD11CSC.Count","OHD11CSC.Cumulative","OHD11CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",361,361,NA
"0","Lingual surface caries",5,366,NA
"2","Facial surface caries",42,408,NA
"3","Mesial caries",16,424,NA
"4","Distal caries",17,441,NA
"5","Lingual surface restoration",23,464,NA
"7","Facial surface restoration",42,506,NA
"8","Mesial restoration",42,548,NA
"9","Distal restoration",76,624,NA
"< blank >","Missing",8974,9598,NA
