"OHX26CSC.Code.or.Value","OHX26CSC.Value.Description","OHX26CSC.Count","OHX26CSC.Cumulative","OHX26CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #26","Value was recorded",38,38,NA
"0","Lingual AMALGAM restoration",0,38,NA
"1","Occlusal AMALGAM restoration",0,38,NA
"2","Facial AMALGAM restoration",3,41,NA
"3","Mesial AMALGAM restoration",0,41,NA
"4","Distal AMALGAM restoration",0,41,NA
"5","Lingual OTHER restoration",1,42,NA
"6","Occlusal OTHER restoration",0,42,NA
"7","Facial OTHER restoration",3,45,NA
"8","Mesial OTHER restoration",7,52,NA
"9","Distal OTHER restoration",7,59,NA
"-1","Crown (non-specific full-coverage restoration)",46,105,NA
"-4","Lingual caries",0,105,NA
"-5","Occlusal caries",0,105,NA
"-6","Facial caries",9,114,NA
"-7","Mesial caries",1,115,NA
"-8","Distal caries",17,132,NA
"< blank >","Missing",8234,8366,NA
