"FFQ0107.Code.or.Value","FFQ0107.Value.Description","FFQ0107.Count","FFQ0107.Cumulative","FFQ0107.Skip.to.Item"
1,"never",2507,2507,NA
2,"1-6 times per year",1158,3665,NA
3,"7-11 times per year",548,4213,NA
4,"1 time per month",492,4705,NA
5,"2-3 times per month",507,5212,NA
6,"1 time per week",255,5467,NA
7,"2 times per week",205,5672,NA
8,"3-4 times per week",156,5828,NA
9,"5-6 times per week",46,5874,NA
10,"1 time per day",47,5921,NA
11,"2 or more times per day",17,5938,NA
88,"Blank",65,6003,NA
99,"Error",10,6013,NA
