"OHX15CSC.Code.or.Value","OHX15CSC.Value.Description","OHX15CSC.Count","OHX15CSC.Cumulative","OHX15CSC.Skip.to.Item"
"Coronal Caries:  Surface condition #15","Value was recorded",1068,1068,NA
"0","Lingual surface caries",5,1073,NA
"1","Occlusal/incisal caries",122,1195,NA
"2","Facial surface caries",5,1200,NA
"3","Mesial caries",2,1202,NA
"4","Distal caries",2,1204,NA
"5","Lingual surface restoration",8,1212,NA
"6","Occlusal/incisal restoration",865,2077,NA
"7","Facial surface restoration",3,2080,NA
"8","Mesial restoration",1,2081,NA
"9","Distal restoration",0,2081,NA
"< blank >","Missing",6875,8956,NA
