"FFQ0102.Code.or.Value","FFQ0102.Value.Description","FFQ0102.Count","FFQ0102.Cumulative","FFQ0102.Skip.to.Item"
1,"never",488,488,"FFQ0103"
2,"1-6 times per year",684,1172,""
3,"7-11 times per year",493,1665,""
4,"1 time per month",669,2334,""
5,"2-3 times per month",1182,3516,""
6,"1 time per week",845,4361,""
7,"2 times per week",650,5011,""
8,"3-4 times per week",517,5528,""
9,"5-6 times per week",190,5718,""
10,"1 time per day",119,5837,""
11,"2 or more times per day",77,5914,""
88,"Blank",86,6000,""
99,"Error",13,6013,""
