"FFQ0100.Code.or.Value","FFQ0100.Value.Description","FFQ0100.Count","FFQ0100.Cumulative","FFQ0100.Skip.to.Item"
1,"never",1637,1637,NA
2,"1-6 times per year",1665,3302,NA
3,"7-11 times per year",771,4073,NA
4,"1 time per month",678,4751,NA
5,"2-3 times per month",806,5557,NA
6,"1 time per week",290,5847,NA
7,"2 times per week",259,6106,NA
8,"3-4 times per week",149,6255,NA
9,"5-6 times per week",41,6296,NA
10,"1 time per day",40,6336,NA
11,"2 or more times per day",19,6355,NA
88,"Blank",90,6445,NA
99,"Error",27,6472,NA
