"FFQ0086.Code.or.Value","FFQ0086.Value.Description","FFQ0086.Count","FFQ0086.Cumulative","FFQ0086.Skip.to.Item"
1,"never",1204,1204,NA
2,"1-6 times per year",1341,2545,NA
3,"7-11 times per year",908,3453,NA
4,"1 time per month",834,4287,NA
5,"2-3 times per month",1173,5460,NA
6,"1 time per week",480,5940,NA
7,"2 times per week",288,6228,NA
8,"3-4 times per week",99,6327,NA
9,"5-6 times per week",30,6357,NA
10,"1 time per day",17,6374,NA
11,"2 or more times per day",12,6386,NA
88,"Blank",62,6448,NA
99,"Error",24,6472,NA
