"PADACTIV.Code.or.Value","PADACTIV.Value.Description","PADACTIV.Count","PADACTIV.Cumulative","PADACTIV.Skip.to.Item"
"10","AEROBICS",333,333,NA
"11","BASEBALL",120,453,NA
"12","BASKETBALL",718,1171,NA
"13","BICYCLING",684,1855,NA
"14","BOWLING",46,1901,NA
"15","DANCE",659,2560,NA
"16","FISHING",36,2596,NA
"17","FOOTBALL",283,2879,NA
"18","GARDENING",185,3064,NA
"19","GOLF",218,3282,NA
"20","HIKING",169,3451,NA
"21","HOCKEY",30,3481,NA
"22","HUNTING",14,3495,NA
"23","JOGGING",220,3715,NA
"24","KAYAKING",10,3725,NA
"25","PUSH-UPS",133,3858,NA
"26","RACQUETBALL",30,3888,NA
"27","ROLLERBLADING",73,3961,NA
"28","ROWING",11,3972,NA
"29","RUNNING",935,4907,NA
"30","SIT-UPS",178,5085,NA
"31","SKATING",49,5134,NA
"32","SKIING - CROSS COUNTRY",15,5149,NA
"33","SKIING - DOWNHILL",9,5158,NA
"34","SOCCER",264,5422,NA
"35","SOFTBALL",98,5520,NA
"36","STAIR CLIMBING",122,5642,NA
"37","STRETCHING",182,5824,NA
"38","SWIMMING",265,6089,NA
"39","TENNIS",89,6178,NA
"40","TREADMILL",183,6361,NA
"41","VOLLEYBALL",106,6467,NA
"42","WALKING",1687,8154,NA
"43","WEIGHT LIFTING",421,8575,NA
"44","YARD WORK",497,9072,NA
"50","BOXING",11,9083,NA
"51","FRISBEE",12,9095,NA
"52","HORSEBACK RIDING",13,9108,NA
"53","MARTIAL ARTS",22,9130,NA
"54","WRESTLING",24,9154,NA
"55","YOGA",7,9161,NA
"56","CHEERLEADING AND GYMNASTICS",20,9181,NA
"57","CHILDREN'S GAMES (E.G. DODGEBALL, KICKBALL)",12,9193,NA
"58","ROPE JUMPING",21,9214,NA
"59","SKATEBOARDING",6,9220,NA
"60","SURFING",5,9225,NA
"61","TRAMPOLINE JUMPING",13,9238,NA
"71","OTHER",28,9266,NA
".","Missing",0,9266,NA
