"DR1MNRSP.Code.or.Value","DR1MNRSP.Value.Description","DR1MNRSP.Count","DR1MNRSP.Cumulative","DR1MNRSP.Skip.to.Item"
"1","SP",7026,7026,NA
"2","Mother of SP",2014,9040,NA
"3","Father of SP",159,9199,NA
"4","Wife of SP",16,9215,NA
"5","Husband of SP",3,9218,NA
"6","Daughter of SP",18,9236,NA
"7","Son of SP",5,9241,NA
"8","Grandparent of SP",54,9295,NA
"9","Friend, Partner, Non Relative",3,9298,NA
"10","Translator, not a HH member",1,9299,NA
"11","Child care provider, Caretaker",2,9301,NA
"12","Other Relative",40,9341,NA
"14","Other specify",0,9341,NA
"77","Refused",0,9341,NA
"99","Don't know",0,9341,NA
".","Missing",609,9950,NA
