"DR1FS.Code.or.Value","DR1FS.Value.Description","DR1FS.Count","DR1FS.Cumulative","DR1FS.Skip.to.Item"
"1","Store",94379,94379,NA
"2","Restaurant with waiter/waitress",9187,103566,NA
"3","Restaurant fast food/pizza",11248,114814,NA
"4","Bar/tavern/lounge",309,115123,NA
"5","Restaurant no additional information",28,115151,NA
"6","Cafeteria not at school",1115,116266,NA
"7","Cafeteria at school",3741,120007,NA
"8","Child care center",523,120530,NA
"9","Family/adult day care center",27,120557,NA
"10","Soup kitchen/shelter/food pantry",21,120578,NA
"11","Meals on Wheels",82,120660,NA
"12","Community food program - other",244,120904,NA
"13","Community program no additional information",5,120909,NA
"14","Vending machine",524,121433,NA
"15","Common coffee pot or snack tray",537,121970,NA
"16","From someone else/gift",5211,127181,NA
"17","Mail order purchase",100,127281,NA
"18","Residential dining facility",797,128078,NA
"19","Grown or caught by you or someone you know",594,128672,NA
"20","Fish caught by you or someone you know",38,128710,NA
"24","Sport, recreation, or entertainment facility",491,129201,NA
"25","Street vendor, vending truck",543,129744,NA
"91","Other, specify",100,129844,NA
"99","Don't know",47,129891,NA
".","Missing",1273,131164,NA
