"OHX23CSC.Code.or.Value","OHX23CSC.Value.Description","OHX23CSC.Count","OHX23CSC.Cumulative","OHX23CSC.Skip.to.Item"
"Multiple surface conditions found","Value was recorded",64,64,NA
"0","Lingual surface caries",0,64,NA
"2","Facial surface caries",4,68,NA
"3","Mesial caries",5,73,NA
"4","Distal caries",11,84,NA
"5","Lingual surface restoration",2,86,NA
"7","Facial surface restoration",11,97,NA
"8","Mesial restoration",10,107,NA
"9","Distal restoration",14,121,NA
"< blank >","Missing",8466,8587,NA
