"MCQ230b.Code.or.Value","MCQ230b.Value.Description","MCQ230b.Count","MCQ230b.Cumulative","MCQ230b.Skip.to.Item"
"10","Bladder",1,1,NA
"11","Blood",0,1,NA
"12","Bone",1,2,NA
"13","Brain",1,3,NA
"14","Breast",1,4,NA
"15","Cervix (cervical)",0,4,NA
"16","Colon",7,11,NA
"17","Esophagus (esophageal)",2,13,NA
"18","Gallbladder",0,13,NA
"19","Kidney",0,13,NA
"20","Larynx/ windpipe",3,16,NA
"21","Leukemia",0,16,NA
"22","Liver",0,16,NA
"23","Lung",2,18,NA
"24","Lymphoma/ Hodgkins disease",1,19,NA
"25","Melanoma",3,22,NA
"26","Mouth/tongue/lip",0,22,NA
"27","Nervous system",0,22,NA
"28","Ovary (ovarian)",0,22,NA
"29","Pancreas (pancreatic)",0,22,NA
"30","Prostate",5,27,NA
"31","Rectum (rectal)",0,27,NA
"32","Skin (non-melanoma)",5,32,NA
"33","Skin (don't know what kind)",4,36,NA
"34","Soft tissue (muscle or fat)",0,36,NA
"35","Stomach",1,37,NA
"36","Testis (testicular)",0,37,NA
"37","Thyroid",3,40,NA
"38","Uterus (uterine)",3,43,NA
"39","Other",7,50,NA
"66","More than 3 kinds",0,50,NA
"77","Refused",0,50,NA
"99","Don't know",0,50,NA
".","Missing",9314,9364,NA
