"FFQ0097A.Code.or.Value","FFQ0097A.Value.Description","FFQ0097A.Count","FFQ0097A.Cumulative","FFQ0097A.Skip.to.Item"
1,"never",90,90,NA
2,"1-6 times per winter",857,947,NA
3,"7-11 times per winter",793,1740,NA
4,"1 time per month",377,2117,NA
5,"2-3 times per month",1131,3248,NA
6,"1 time per week",702,3950,NA
7,"2 times per week",857,4807,NA
8,"3-4 times per week",584,5391,NA
9,"5-6 times per week",182,5573,NA
10,"1 time per day",127,5700,NA
11,"2 or more times per day",46,5746,NA
88,"Blank",695,6441,NA
99,"Error",31,6472,NA
